,0,1
199,0.6093113,5.621719
200,0.5157307,5.727391
201,0.6036117,5.793458
202,0.52086765,5.8947754
203,0.6066954,5.983741
204,0.5318826,6.066221
205,0.61218584,6.1524053
206,0.5446906,6.2288766
207,0.62423307,6.3275685
208,0.5418166,6.397765
209,0.6370092,6.499632
210,0.5562004,6.5604706
211,0.65566605,6.6506405
212,0.58540475,6.7169833
213,0.6297447,6.8252444
214,0.53806096,6.8962746
215,0.6547545,6.986853
216,0.5551897,7.0650897
217,0.66458344,7.1420946
218,0.5636506,7.192894
219,0.6821278,7.29933
220,0.5877566,7.3636227
221,0.66398257,7.44196
222,0.58239925,7.5055385
223,0.657676,7.595907
224,0.5680875,7.6671505
225,0.6713859,7.739495
226,0.5792587,7.8385515
227,0.67311347,7.8865604
228,0.5871123,7.985045
229,0.6943029,8.061674
230,0.58792204,8.161526
231,0.6796365,8.1964855
232,0.57631874,8.272616
233,0.6985729,8.317936
234,0.58284724,8.403334
235,0.66813856,8.468889
236,0.5937132,8.549539
237,0.6838522,8.590651
238,0.5839766,8.678612
239,0.6912363,8.739174
240,0.5859003,8.809434
241,0.6811273,8.846022
242,0.59780645,8.907971
243,0.6791753,8.968696
244,0.59140193,9.046839
245,0.6651207,9.111293
246,0.5758972,9.151031
247,0.6814596,9.208507
248,0.5676708,9.266784
249,0.67302907,9.327854
250,0.581842,9.379017
251,0.6788342,9.436973
252,0.5681164,9.489743
253,0.6655314,9.556476
254,0.5429216,9.591246
255,0.64412475,9.63076
256,0.8144744,0.43740594
257,0.8819757,0.45955217
258,0.777827,0.5337854
259,0.84572864,0.5836454
260,0.7471234,0.64574516
261,0.8498597,0.69514513
262,0.7488938,0.7580495
263,0.83557624,0.81872934
264,0.7301406,0.8706246
265,0.8276856,0.9176812
266,0.73322076,0.9812805
267,0.8050461,1.0317335
268,0.7290634,1.1277539
269,0.7988293,1.1826245
270,0.7207258,1.2430732
271,0.80126595,1.3237525
272,0.72110724,1.3654736
273,0.79479885,1.4126562
274,0.6924819,1.4853203
275,0.79061973,1.5329947
276,0.6942954,1.6213561
277,0.7881428,1.6767784
278,0.6926168,1.7463814
279,0.79165345,1.8227978
280,0.6828707,1.8818841
281,0.7853333,1.9440628
282,0.69447494,2.0225632
283,0.7936969,2.0645356
284,0.6577474,2.1543906
285,0.76617545,2.2005727
286,0.65158457,2.2868814
287,0.7724123,2.3625722
288,0.6665453,2.4323668
289,0.7730591,2.4983234
290,0.66639435,2.579135
291,0.7578274,2.6528342
292,0.6433367,2.7380462
293,0.75038123,2.7976766
294,0.65148056,2.8826697
295,0.74216425,2.9743845
296,0.6679565,3.0544248
297,0.7347471,3.0950675
298,0.66137314,3.1899042
299,0.74412405,3.277517
300,0.65479773,3.347653
301,0.7511114,3.4540644
302,0.6594022,3.51923
303,0.77067107,3.6007724
304,0.64753246,3.678774
305,0.7695285,3.784571
306,0.6653878,3.8472786
307,0.77672374,3.9411232
308,0.66088593,4.02401
309,0.74318326,4.0812063
310,0.66354537,4.1883245
311,0.7876357,4.26164
312,0.6861234,4.3479424
313,0.7674651,4.411313
314,0.68638605,4.490615
315,0.784975,4.603459
316,0.6850795,4.6853085
317,0.7958091,4.7668295
318,0.68173826,4.853435
319,0.7954567,4.93799
320,0.68777674,5.0302577
321,0.79079294,5.116827
322,0.70211613,5.2011676
323,0.7896795,5.2833457
324,0.68410313,5.370773
325,0.7947875,5.446326
326,0.717665,5.555906
327,0.78883165,5.632216
328,0.70454186,5.717448
329,0.8086561,5.8166585
330,0.7200183,5.889211
331,0.8215529,5.9673147
332,0.73033106,6.04221
333,0.8340657,6.152241
334,0.71672934,6.2224674
335,0.8155631,6.300821
336,0.72983116,6.41264
337,0.82221156,6.4625254
338,0.74708855,6.5810657
339,0.82010293,6.646536
340,0.7389184,6.7337594
341,0.84505403,6.8112597
342,0.7483935,6.8961673
343,0.83965504,6.9515862
344,0.7658549,7.074826
345,0.8513283,7.135186
346,0.75938255,7.213713
347,0.83681124,7.2897367
348,0.7563166,7.38945
349,0.87863344,7.4446
350,0.76212484,7.5453796
351,0.85493237,7.6014867
352,0.7960884,7.674189
353,0.859146,7.746455
354,0.77403647,7.8210006
355,0.8729449,7.9007187
356,0.7703159,7.982289
357,0.87872565,8.062842
358,0.7836716,8.130365
359,0.8864247,8.205236
360,0.769065,8.260208
361,0.868365,8.333816
362,0.79001415,8.39197
363,0.86621326,8.454671
364,0.77920854,8.521708
365,0.88091403,8.595208
366,0.7824198,8.68092
367,0.84573877,8.72989
368,0.7814074,8.79491
369,0.8896438,8.858963
370,0.7836089,8.908324
371,0.8557475,8.9545555
372,0.7735736,9.043811
373,0.87438184,9.085224
374,0.78455776,9.162423
375,0.8652605,9.20805
376,0.77699345,9.291104
377,0.85726315,9.320606
378,0.7720849,9.384191
379,0.85434777,9.408863
380,0.7563206,9.477803
381,0.8555239,9.529571
382,0.7469606,9.596705
383,0.8516513,9.647785
384,0.98246,0.4003489
385,1.062566,0.46762723
386,0.93209726,0.5030511
387,1.0475384,0.56558025
388,0.941744,0.64425063
389,1.0541207,0.6577119
390,0.93138236,0.7501379
391,1.0493916,0.7864046
392,0.9387632,0.85576963
393,1.0252088,0.91358316
394,0.90912396,0.9889799
395,1.0128567,1.0264449
396,0.9033384,1.0929627
397,0.99951553,1.1568269
398,0.9137196,1.2170697
399,1.0009421,1.2718891
400,0.9054148,1.3469435
